numero_finess_etablissement;rsej;activite;libactivite;forme;libforme;numero finess etablissement juridique;raison_sociale;rslongue;code_commune;departement;libelle_departement;categetab;categorie;coordyet;coordxet;longitude;latitude;groupe_activites;code_insee
340796663;CHU MONTPELLIER;02;Chirurgie;07;Chirurgie ambulatoire;340780477;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;CHU MONTPELLIER HOPITAL ARNAUD DE VILLENEUVE;172;34;HERAULT;101;Centre Hospitalier Régional (C.H.R.);6281964.3;768616.4;3.850048694074724;43.63340099232791;Chirurgie;34172
340796663;CHU MONTPELLIER;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);340780477;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;CHU MONTPELLIER HOPITAL ARNAUD DE VILLENEUVE;172;34;HERAULT;101;Centre Hospitalier Régional (C.H.R.);6281964.3;768616.4;3.850048694074724;43.63340099232791;Médecine;34172
340796663;CHU MONTPELLIER;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;02;Hospitalisation à temps partiel de jour ou de nuit;340780477;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;CHU MONTPELLIER HOPITAL ARNAUD DE VILLENEUVE;172;34;HERAULT;101;Centre Hospitalier Régional (C.H.R.);6281964.3;768616.4;3.850048694074724;43.63340099232791;Gynécologie;34172
340796663;CHU MONTPELLIER;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;00;Pas de forme;340780477;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;CHU MONTPELLIER HOPITAL ARNAUD DE VILLENEUVE;172;34;HERAULT;101;Centre Hospitalier Régional (C.H.R.);6281964.3;768616.4;3.850048694074724;43.63340099232791;Insuffisance rénale;34172
340796663;CHU MONTPELLIER;02;Chirurgie;01;Hospitalisation complète (24 heures consécutives ou plus);340780477;HOPITAL ARNAUD DE VILLENEUVE CHU MPT;CHU MONTPELLIER HOPITAL ARNAUD DE VILLENEUVE;172;34;HERAULT;101;Centre Hospitalier Régional (C.H.R.);6281964.3;768616.4;3.850048694074724;43.63340099232791;Chirurgie;34172
430009134;CHU DE SAINT-ETIENNE;18;Traitement du cancer;00;Pas de forme;420784878;ICLN SITE EMILE ROUX - CHU42;ICLN SITE EMILE ROUX - CHU42;157;43;HAUTE LOIRE;101;Centre Hospitalier Régional (C.H.R.);6438591.8;769567.1;3.883535905394297;45.04307063215871;Cancer;43157
070000039;CH DE VALLON PONT D'ARC;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);070780119;CH DE VALLON PONT D'ARC;CENTRE HOSPITALIER DE VALLON PONT D'ARC;330;07;ARDECHE;106;Centre hospitalier, ex Hôpital local;6368377.2;811123.3;4.395471404284758;44.405598775652194;Médecine;07330
070000047;CH DE VILLENEUVE DE BERG;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);070780127;CH DE VILLENEUVE DE BERG;CENTRE HOSPITALIER DE VILLENEUVE DE BERG;341;07;ARDECHE;106;Centre hospitalier, ex Hôpital local;6385518.2;819049.5;4.499070526028206;44.55856991948482;Médecine;07341
070000070;CH DU CHEYLARD;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);070780150;CH DU CHEYLARD;CENTRE HOSPITALIER DU CHEYLARD;064;07;ARDECHE;106;Centre hospitalier, ex Hôpital local;6423819.7;812162.9;4.42105235009705;44.90448430758478;Médecine;07064
070000070;CH DU CHEYLARD;01;Médecine;02;Hospitalisation à temps partiel de jour ou de nuit;070780150;CH DU CHEYLARD;CENTRE HOSPITALIER DU CHEYLARD;064;07;ARDECHE;106;Centre hospitalier, ex Hôpital local;6423819.7;812162.9;4.42105235009705;44.90448430758478;Médecine;07064
070000195;CH DE TOURNON SUR RHONE;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);070780374;CH DE TOURNON SUR RHONE;CENTRE HOSPITALIER DE TOURNON SUR RHONE;324;07;ARDECHE;106;Centre hospitalier, ex Hôpital local;6441234.9;845983.3;4.854583591350326;45.05493666273081;Médecine;07324
070000203;CH DE SAINT FELICIEN;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);070780382;CH DE SAINT FELICIEN;CENTRE HOSPITALIER DE SAINT-FELICIEN;236;07;ARDECHE;106;Centre hospitalier, ex Hôpital local;6444386.0;828174.8;4.629237464538249;45.086838984713175;Médecine;07236
120000088;CH ST GENIEZ D'OLT ET AUBRAC;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);120780093;CH ETIENNE RIVIE ST GENIEZ D'OLT;CH ETIENNE RIVIE SAINT GENIEZ D'OLT (HOP PROXIMITE);224;12;AVEYRON;106;Centre hospitalier, ex Hôpital local;6374293.0;698051.4;2.9755041484326195;44.46768891107326;Médecine;12224
120000096;CHI ESPALION ST LAURENT D'OLT;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);120780101;CHI ESPALION ST LAURENT D'OLT;CHI ESPALION SAINT LAURENT D'OLT (HOP PROXIMITE);096;12;AVEYRON;106;Centre hospitalier, ex Hôpital local;6380807.0;681155.9;2.7628655954448447;44.52607688086458;Médecine;12096
130001258;HOPITAUX DES PORTES DE CAMARGUE;50;Soins de suite et de réadaptation non spécialisés;01;Hospitalisation complète (24 heures consécutives ou plus);130028228;HOPITAUX PORTES DE CAMARGUE TARASCON;HOPITAUX PORTES DE CAMARGUE TARASCON;108;13;BOUCHES DU RHONE;106;Centre hospitalier, ex Hôpital local;6300686.0;834544.9;4.671523830466662;43.79237359189094;Soins de suite;13108
300000049;HOPITAUX DES PORTES DE CAMARGUE;50;Soins de suite et de réadaptation non spécialisés;01;Hospitalisation complète (24 heures consécutives ou plus);130028228;CH BEAUCAIRE;CENTRE HOSPITALIER DE BEAUCAIRE;032;30;GARD;106;Centre hospitalier, ex Hôpital local;6302405.7;831834.4;4.6383027969404;43.80835663872232;Soins de suite;30032
300000056;CH PONT ST ESPRIT;01;Médecine;01;Hospitalisation complète (24 heures consécutives ou plus);300780079;CH PONT ST ESPRIT;CENTRE HOSPITALIER PONT SAINT ESPRIT (HOP PROXIMITE);202;30;GARD;106;Centre hospitalier, ex Hôpital local;6353131.4;831404.3;4.646098611167057;44.26487339003623;Médecine;30202
