Unnamed: 0,code_insee,nom_standard,nom_sans_accent,nom_standard_majuscule,typecom,typecom_texte,reg_code,reg_nom,dep_code,dep_nom,canton_code,canton_nom,epci_code,epci_nom,code_postal,zone_emploi,code_insee_centre_zone_emploi,code_unite_urbaine,taille_unite_urbaine,population,superficie_hectare,superficie_km2,densite,latitude_centre,longitude_centre,grille_densite,grille_densite_texte,distance_urgence_km
16921,46208,Montvalent,montvalent,MONTVALENT,COM,commune,76,Occitanie,46,Lot,4614,Martel,200066371,CC Causses et Vallée de la Dordogne,46600.0,7619.0,46128,46000,0.0,302,2753,28,11.0,44.874,1.636,7,Rural à habitat très dispersé,19.979489905416216
16922,46209,Nadaillac-de-Rouge,nadaillac-de-rouge,NADAILLAC-DE-ROUGE,COM,commune,76,Occitanie,46,Lot,4617,Souillac,200066371,CC Causses et Vallée de la Dordogne,46350.0,7619.0,46128,46000,0.0,161,775,8,21.0,44.85,1.43,7,Rural à habitat très dispersé,13.842624650072386
16923,46210,Nadillac,nadillac,NADILLAC,COM,commune,76,Occitanie,46,Lot,4605,Causse et Vallées,244600573,CC du Causse de Labastide-Murat,46360.0,7607.0,46042,46000,0.0,71,739,7,10.0,44.564,1.51,7,Rural à habitat très dispersé,14.483545560814774
16924,46211,Nuzéjouls,nuzejouls,NUZÉJOULS,COM,commune,76,Occitanie,46,Lot,4604,Causse et Bouriane,200023737,CA du Grand Cahors,46150.0,7607.0,46042,46000,0.0,354,475,5,75.0,44.536,1.374,6,Rural à habitat dispersé,11.313623484328083
16925,46212,Orniac,orniac,ORNIAC,COM,commune,76,Occitanie,46,Lot,4605,Causse et Vallées,244600573,CC du Causse de Labastide-Murat,46330.0,7607.0,46042,46000,0.0,71,1697,17,4.0,44.543,1.678,7,Rural à habitat très dispersé,22.034280527123382
16926,46213,Padirac,padirac,PADIRAC,COM,commune,76,Occitanie,46,Lot,4610,Gramat,200066371,CC Causses et Vallée de la Dordogne,46500.0,7619.0,46128,46000,0.0,174,886,9,20.0,44.85,1.756,7,Rural à habitat très dispersé,10.57555432933098
16927,46214,Parnac,parnac,PARNAC,COM,commune,76,Occitanie,46,Lot,4612,Luzech,244600433,CC de la Vallée du Lot et du Vignoble,46140.0,7607.0,46042,46101,1.0,383,596,6,64.0,44.481,1.319,6,Rural à habitat dispersé,10.18670883526987
16928,46215,Payrac,payrac,PAYRAC,COM,commune,76,Occitanie,46,Lot,4617,Souillac,200066371,CC Causses et Vallée de la Dordogne,46350.0,7619.0,46128,46000,0.0,650,1958,20,33.0,44.794,1.466,6,Rural à habitat dispersé,10.054676169515181
16929,46216,Payrignac,payrignac,PAYRIGNAC,COM,commune,76,Occitanie,46,Lot,4609,Gourdon,244600482,CC Quercy - Bouriane,46300.0,7607.0,46042,46107,1.0,653,2157,22,30.0,44.763,1.344,6,Rural à habitat dispersé,4.108571872482962
16930,46217,Pern,pern,PERN,COM,commune,76,Occitanie,46,Lot,4613,Marches du Sud-Quercy,200039519,CC du Quercy Blanc,46170.0,7607.0,46042,46000,0.0,427,2587,26,17.0,44.334,1.407,7,Rural à habitat très dispersé,12.530748737121513
16931,46218,Pescadoires,pescadoires,PESCADOIRES,COM,commune,76,Occitanie,46,Lot,4615,Puy-l'Evêque,244600433,CC de la Vallée du Lot et du Vignoble,46220.0,7607.0,46042,46102,1.0,190,246,2,77.0,44.5,1.158,6,Rural à habitat dispersé,22.964155549594775
16932,46219,Peyrilles,peyrilles,PEYRILLES,COM,commune,76,Occitanie,46,Lot,4604,Causse et Bouriane,244600482,CC Quercy - Bouriane,46310.0,7607.0,46042,46000,0.0,344,2847,28,12.0,44.621,1.393,7,Rural à habitat très dispersé,12.475810202412495
16933,46220,Pinsac,pinsac,PINSAC,COM,commune,76,Occitanie,46,Lot,4617,Souillac,200066371,CC Causses et Vallée de la Dordogne,46200.0,7619.0,46128,46000,0.0,771,1994,20,39.0,44.861,1.519,6,Rural à habitat dispersé,18.37675619242836
16934,46221,Planioles,planioles,PLANIOLES,COM,commune,76,Occitanie,46,Lot,4607,Figeac-1,200067361,CC Grand-Figeac,46100.0,7611.0,12300,46301,3.0,544,578,6,94.0,44.642,2.028,6,Rural à habitat dispersé,3.5953600959041623
