nofinessej;rsej;activite;libactivite;modalite;libmodalite;forme;libforme;noautor;dateautor;nofinesset;rset;noligautor;noligautoranc;noautorarhgos;noimplarhgos;sectpsy;libsectpsy;datemeo;datefin
310797519;SCP FRANCK DUDOUET ET AUTRES;18;Traitement du cancer;68;Radiothérapie externe;00;Pas de forme;762608444;2009-06-09;310797527;GROUPE ORION TOULOUSE;8444;;76-73-3413;76-73-3413;;;2011-06-22;2027-01-15
310797519;SCP FRANCK DUDOUET ET AUTRES;18;Traitement du cancer;70;Curiethérapie;00;Pas de forme;762608445;2009-06-09;310797527;GROUPE ORION TOULOUSE;8445;;76-73-3414;76-73-3414;;;2009-06-22;2027-01-15
320780117;CH AUCH EN GASCOGNE;14;Médecine d'urgence;26;SMUR Structure mobile d'urgence et de réanimation;14;Non saisonnier;762604778;2007-02-13;320000086;CH AUCH EN GASCOGNE;4778;;76-73-40304;76-73-40304;;;2007-02-13;2029-09-30
320780117;CH AUCH EN GASCOGNE;18;Traitement du cancer;67;Chimiothérapie ou autres traitements médicaux spécifiques du cancer;15;Forme non précisée;762605891;2009-06-09;320000086;CH AUCH EN GASCOGNE;5891;;76-73-48214;76-73-48214;;;2011-06-15;2027-01-15
320780117;CH AUCH EN GASCOGNE;02;Chirurgie;00;Pas de modalité;07;Chirurgie ambulatoire;762607948;2008-04-09;320000086;CH AUCH EN GASCOGNE;7948;;76-73-3230;76-73-3230;;;2009-08-18;2027-02-17
320780117;CH AUCH EN GASCOGNE;18;Traitement du cancer;91;Chirurgie des cancers : sein;00;Pas de forme;762608467;2009-06-09;320000086;CH AUCH EN GASCOGNE;8467;;76-73-3497;76-73-3497;;;2011-06-15;2027-01-15
320780117;CH AUCH EN GASCOGNE;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;40;Hémodialyse en centre pour adultes;00;Pas de forme;762601798;2005-06-14;320000086;CH AUCH EN GASCOGNE;1798;;76-73-376;76-73-376;;;2005-06-14;2027-12-14
320780117;CH AUCH EN GASCOGNE;02;Chirurgie;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);762602180;2001-08-03;320000086;CH AUCH EN GASCOGNE;2180;;76-73-370;76-73-370;;;2001-08-03;2029-02-03
320780117;CH AUCH EN GASCOGNE;01;Médecine;00;Pas de modalité;02;Hospitalisation à temps partiel de jour ou de nuit;762602187;2000-05-09;320000086;CH AUCH EN GASCOGNE;2187;;76-73-374;76-73-374;;;2001-07-04;2029-02-03
320780117;CH AUCH EN GASCOGNE;01;Médecine;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);762603208;2001-02-13;320000086;CH AUCH EN GASCOGNE;3208;;76-73-373;76-73-373;;;2001-02-13;2029-02-03
320780117;CH AUCH EN GASCOGNE;14;Médecine d'urgence;22;SAMU Service d'aide médicale urgente;00;Pas de forme;762603223;2007-02-13;320000086;CH AUCH EN GASCOGNE;3223;;76-73-377;76-73-377;;;2007-02-13;2029-09-30
320780117;CH AUCH EN GASCOGNE;18;Traitement du cancer;90;Chirurgie des cancers : digestif;00;Pas de forme;762603421;2009-06-09;320000086;CH AUCH EN GASCOGNE;3421;;76-73-3498;76-73-3498;;;2011-06-15;2027-01-15
320780117;CH AUCH EN GASCOGNE;14;Médecine d'urgence;23;SU Structure des urgences;14;Non saisonnier;762603505;2007-02-13;320000086;CH AUCH EN GASCOGNE;3505;;76-73-4304;76-73-4304;;;2011-10-24;2029-09-30
320780125;CH GERS;04;Psychiatrie;06;Générale;05;Hospitalisation à domicile (au domicile du patient);762608405;2006-04-11;320000094;CHS DU GERS;8405;;76-73-565;76-73-565;;;2007-07-18;2023-02-01
