nofinessej;rsej;activite;libactivite;modalite;libmodalite;forme;libforme;noautor;dateautor;nofinesset;rset;noligautor;noligautoranc;noautorarhgos;noimplarhgos;sectpsy;libsectpsy;datemeo;datefin
010780054;CH FLEYRIAT;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;01;Gynécologie obstétrique;01;Hospitalisation complète (24 heures consécutives ou plus);842605068;2001-01-10;010000024;CH DE FLEYRIAT;5068;;84-82-46;84-82-46;;;2001-08-03;2029-02-01
010780054;CH FLEYRIAT;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;02;Néonatologie sans soins intensifs;01;Hospitalisation complète (24 heures consécutives ou plus);842605069;2001-01-10;010000024;CH DE FLEYRIAT;5069;;84-82-47;84-82-47;;;2006-04-21;2029-02-01
010780054;CH FLEYRIAT;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;03;Néonatologie avec soins intensifs;01;Hospitalisation complète (24 heures consécutives ou plus);842605070;2001-01-10;010000024;CH DE FLEYRIAT;5070;;84-82-48;84-82-48;;;2006-04-21;2029-02-01
010780054;CH FLEYRIAT;07;Soins de longue durée;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);842605188;2000-06-07;010000024;CH DE FLEYRIAT;5188;;84-82-158;84-82-158;;;2001-08-03;2029-02-01
010780054;CH FLEYRIAT;18;Traitement du cancer;68;Radiothérapie externe;00;Pas de forme;842606698;2009-06-10;010000024;CH DE FLEYRIAT;6698;;84-82-4446;84-82-4446;;;2009-06-10;2026-12-30
010780054;CH FLEYRIAT;11;Activités interventionnelles sous imagerie médicale, par voie endovasculaire, en cardiologie;83;Actes portant sur les autres cardiopathies de l'adulte;00;Pas de forme;842607068;2010-05-06;010000024;CH DE FLEYRIAT;7068;;84-82-5451;84-82-5451;;;2010-12-29;2027-11-30
010780054;CH FLEYRIAT;01;Médecine;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);842602065;2000-06-07;010000024;CH DE FLEYRIAT;2065;;84-82-43;84-82-43;;;2001-08-03;2029-02-01
010780054;CH FLEYRIAT;01;Médecine;00;Pas de modalité;02;Hospitalisation à temps partiel de jour ou de nuit;842602066;2002-03-13;010000024;CH DE FLEYRIAT;2066;;84-82-42;84-82-42;;;2006-04-21;2029-02-01
010780062;CH BUGEY SUD;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;01;Gynécologie obstétrique;01;Hospitalisation complète (24 heures consécutives ou plus);842605084;2001-01-10;010000032;CH BUGEY SUD;5084;;84-82-58;84-82-58;;;2001-08-03;2029-02-01
010780062;CH BUGEY SUD;01;Médecine;00;Pas de modalité;02;Hospitalisation à temps partiel de jour ou de nuit;842607784;2012-04-23;010000032;CH BUGEY SUD;7784;;84-82-61;84-82-61;;;2003-03-21;2025-09-20
010780096;CH DE TREVOUX;01;Médecine;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);842604657;2000-10-04;010000065;CH DE TREVOUX - MONTPENSIER;4657;;84-82-75;84-82-75;;;2001-08-03;2029-02-01
010780120;CH DE MEXIMIEUX;01;Médecine;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);842604658;2000-06-07;010000099;CH DE MEXIMIEUX;4658;;84-82-78;84-82-78;;;2001-08-03;2029-02-01
010780138;CH DE PONT DE VAUX;01;Médecine;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);842602063;2000-06-07;010000107;CH DE PONT DE VAUX;2063;;84-82-80;84-82-80;;;2001-08-03;2029-02-01
010009132;CHI AIN VAL DE SAONE;01;Médecine;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);842605090;2000-06-07;010000115;CHI AIN VAL DE SAONE - PONT VEYLE;5090;;84-82-82;84-82-82;;;2000-11-27;2028-05-27
010007987;CH PUBLIC HAUTEVILLE;01;Médecine;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);842606865;2015-09-06;010000180;CH PUBLIC HAUTEVILLE - UNITE ESPERANCE;6865;;84-82-57970;84-82-57970;;;2015-09-07;2028-03-06
010007987;CH PUBLIC HAUTEVILLE;01;Médecine;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);842605091;2000-03-08;010000214;CH PUBLIC HAUTEVILLE - UNITE ALBARINE;5091;;84-82-90;84-82-90;;;2000-09-07;2028-03-06
010008407;CH DU HAUT BUGEY;01;Médecine;00;Pas de modalité;02;Hospitalisation à temps partiel de jour ou de nuit;842605125;2007-07-11;010005239;CH DU HAUT BUGEY - GEOVREISSET;5125;;84-82-116;84-82-116;;;2007-10-16;2022-10-20
010780054;CH FLEYRIAT;07;Soins de longue durée;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);842609185;1998-04-01;010009702;USLD EMILE PELICAND;9185;;84-82-43982;84-82-43982;;;1998-04-01;2029-02-01
010000156;CLINIQUE CONVERT;01;Médecine;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);842605139;2000-06-07;010780195;CLINIQUE CONVERT;5139;;84-82-126;84-82-126;;;2001-08-03;2029-02-01
010000156;CLINIQUE CONVERT;11;Activités interventionnelles sous imagerie médicale, par voie endovasculaire, en cardiologie;83;Actes portant sur les autres cardiopathies de l'adulte;00;Pas de forme;842607070;2010-05-06;010780195;CLINIQUE CONVERT;7070;;84-82-5452;84-82-5452;;;2010-06-01;2027-11-30
010010718;HOPITAL PRIVE D'AMBERIEU;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;01;Gynécologie obstétrique;01;Hospitalisation complète (24 heures consécutives ou plus);842605161;1998-10-07;010780203;HOPITAL PRIVE D'AMBERIEU;5161;;84-82-134;84-82-134;;;2001-08-28;2029-02-28
010010718;HOPITAL PRIVE D'AMBERIEU;01;Médecine;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);842605179;1998-10-07;010780203;HOPITAL PRIVE D'AMBERIEU;5179;;84-82-137;84-82-137;;;2001-08-28;2029-02-28
010010718;HOPITAL PRIVE D'AMBERIEU;01;Médecine;00;Pas de modalité;02;Hospitalisation à temps partiel de jour ou de nuit;842605180;1998-10-07;010780203;HOPITAL PRIVE D'AMBERIEU;5180;;84-82-136;84-82-136;;;2001-08-28;2029-02-28
690000278;NEPHROCARE RHONE ALPES;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;45;Hémodialyse à domicile;00;Pas de forme;842609461;2020-07-16;010780294;NEPHROCARE CH BELLEY;9461;;84-82-73878;84-82-73878;;;2020-09-21;2027-09-20
360000707;COM AIDE PERS TRAUMATISEES HANDICAPEES;57;Soins de suite et de réadaptation spécialisés - Affections des brûlés;09;Adulte (âge >=18 ans);02;Hospitalisation à temps partiel de jour ou de nuit;242607253;2017-06-14;010780492;CRF ROMANS-FERRARI;7253;;84-82-64223;84-82-64223;;;2018-10-01;2026-03-30
010009132;CHI AIN VAL DE SAONE;07;Soins de longue durée;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);842605202;2000-06-07;010788008;USLD CH PONT DE VEYLE;5202;;84-82-163;84-82-163;;;2000-11-27;2028-05-27
010780112;CH DU PAYS DE GEX;07;Soins de longue durée;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);842603747;1997-11-05;010789022;USLD CH DU PAYS DE GEX;3747;;84-82-173;84-82-173;;;1997-11-05;2026-07-05
010780096;CH DE TREVOUX;07;Soins de longue durée;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);842605225;2000-10-04;010789576;USLD;5225;;84-82-174;84-82-174;;;2001-08-03;2029-02-01
010008407;CH DU HAUT BUGEY;07;Soins de longue durée;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);842605226;2000-12-13;010789717;USLD CH D'OYONNAX;5226;;84-82-175;84-82-175;;;2001-08-03;2029-02-01
020000022;CENTRE HOSPITALIER DE GUISE;01;Médecine;00;Pas de modalité;05;Hospitalisation à domicile (au domicile du patient);322603883;2004-11-10;020000089;CH GUISE;3883;;32-22-3;32-22-3;;;2004-11-10;2027-05-09
020000063;CH DE SAINT QUENTIN;14;Médecine d'urgence;23;SU Structure des urgences;14;Non saisonnier;322605335;2007-03-30;020000162;CH SAINT-QUENTIN;5335;;32-22-903;32-22-903;;;2007-06-26;2022-12-26
020000063;CH DE SAINT QUENTIN;18;Traitement du cancer;68;Radiothérapie externe;00;Pas de forme;322604070;2009-07-08;020000162;CH SAINT-QUENTIN;4070;;32-22-14;32-22-14;;;2007-06-01;2027-01-07
020000063;CH DE SAINT QUENTIN;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;02;Néonatologie sans soins intensifs;01;Hospitalisation complète (24 heures consécutives ou plus);322604071;2001-01-12;020000162;CH SAINT-QUENTIN;4071;;32-22-16;32-22-16;;;2007-06-01;2022-11-30
020000063;CH DE SAINT QUENTIN;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;03;Néonatologie avec soins intensifs;01;Hospitalisation complète (24 heures consécutives ou plus);322604072;2001-01-12;020000162;CH SAINT-QUENTIN;4072;;32-22-17;32-22-17;;;2007-06-01;2022-11-30
020000063;CH DE SAINT QUENTIN;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;01;Gynécologie obstétrique;01;Hospitalisation complète (24 heures consécutives ou plus);322604073;2001-01-12;020000162;CH SAINT-QUENTIN;4073;;32-22-19;32-22-19;;;2007-06-01;2022-11-30
020000063;CH DE SAINT QUENTIN;14;Médecine d'urgence;26;SMUR Structure mobile d'urgence et de réanimation;14;Non saisonnier;322604074;2007-03-30;020000162;CH SAINT-QUENTIN;4074;;32-22-22;32-22-22;;;2007-06-26;2022-12-26
020000063;CH DE SAINT QUENTIN;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;40;Hémodialyse en centre pour adultes;00;Pas de forme;322604075;2007-06-29;020000162;CH SAINT-QUENTIN;4075;;32-22-23;32-22-23;;;2010-01-26;2027-07-25
020000063;CH DE SAINT QUENTIN;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;01;Gynécologie obstétrique;02;Hospitalisation à temps partiel de jour ou de nuit;322604076;2007-06-29;020000162;CH SAINT-QUENTIN;4076;;32-22-25;32-22-25;;;2008-07-22;2022-11-30
020000063;CH DE SAINT QUENTIN;14;Médecine d'urgence;24;SUP Structure des urgences pédiatriques;14;Non saisonnier;322604171;2009-06-29;020000162;CH SAINT-QUENTIN;4171;;32-22-700;32-22-700;;;2010-12-03;2027-11-30
020000253;CH DE LAON;14;Médecine d'urgence;23;SU Structure des urgences;14;Non saisonnier;322608610;2007-03-30;020000394;CH LAON;8610;;32-22-904;32-22-904;;;2007-03-30;2022-09-29
020000253;CH DE LAON;14;Médecine d'urgence;24;SUP Structure des urgences pédiatriques;14;Non saisonnier;322602373;2010-03-25;020000394;CH LAON;2373;;32-22-858;32-22-858;;;2010-03-25;2024-03-24
020000253;CH DE LAON;14;Médecine d'urgence;22;SAMU Service d'aide médicale urgente;00;Pas de forme;322604077;2007-03-30;020000394;CH LAON;4077;;32-22-54;32-22-54;;;2007-03-30;2022-09-29
020000253;CH DE LAON;14;Médecine d'urgence;26;SMUR Structure mobile d'urgence et de réanimation;14;Non saisonnier;322604078;2007-03-30;020000394;CH LAON;4078;;32-22-58;32-22-58;;;2007-03-30;2022-09-29
020000253;CH DE LAON;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;01;Gynécologie obstétrique;01;Hospitalisation complète (24 heures consécutives ou plus);322604088;2001-01-12;020000394;CH LAON;4088;;32-22-132;32-22-132;;;2001-01-12;2023-03-10
020000253;CH DE LAON;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;02;Néonatologie sans soins intensifs;01;Hospitalisation complète (24 heures consécutives ou plus);322604089;2001-01-12;020000394;CH LAON;4089;;32-22-133;32-22-133;;;2001-01-12;2023-03-10
020000261;CENTRE HOSPITALIER DE SOISSONS;18;Traitement du cancer;68;Radiothérapie externe;00;Pas de forme;322609637;2016-06-07;020000519;CH SOISSONS;9637;;32-22-59633;32-22-59633;;;2024-01-02;2031-01-01
020000261;CENTRE HOSPITALIER DE SOISSONS;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;02;Néonatologie sans soins intensifs;01;Hospitalisation complète (24 heures consécutives ou plus);322604081;2001-01-12;020000519;CH SOISSONS;4081;;32-22-69;32-22-69;;;2001-01-12;2023-03-06
020000261;CENTRE HOSPITALIER DE SOISSONS;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;03;Néonatologie avec soins intensifs;01;Hospitalisation complète (24 heures consécutives ou plus);322604082;2001-01-12;020000519;CH SOISSONS;4082;;32-22-70;32-22-70;;;2001-01-12;2023-03-06
020000261;CENTRE HOSPITALIER DE SOISSONS;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;01;Gynécologie obstétrique;01;Hospitalisation complète (24 heures consécutives ou plus);322604083;2001-01-12;020000519;CH SOISSONS;4083;;32-22-71;32-22-71;;;2007-09-07;2023-03-06
020000261;CENTRE HOSPITALIER DE SOISSONS;14;Médecine d'urgence;26;SMUR Structure mobile d'urgence et de réanimation;14;Non saisonnier;322604084;2007-03-30;020000519;CH SOISSONS;4084;;32-22-77;32-22-77;;;2007-06-29;2022-12-29
020000261;CENTRE HOSPITALIER DE SOISSONS;14;Médecine d'urgence;24;SUP Structure des urgences pédiatriques;14;Non saisonnier;322604200;2010-03-25;020000519;CH SOISSONS;4200;;32-22-859;32-22-859;;;2011-05-23;2028-11-22
020000261;CENTRE HOSPITALIER DE SOISSONS;14;Médecine d'urgence;23;SU Structure des urgences;14;Non saisonnier;322604201;2007-03-30;020000519;CH SOISSONS;4201;;32-22-905;32-22-905;;;2007-06-29;2022-12-29
020000287;CH DE CHAUNY;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;01;Gynécologie obstétrique;01;Hospitalisation complète (24 heures consécutives ou plus);322608644;2001-01-12;020000535;CH CHAUNY;8644;;32-22-86;32-22-86;;;2001-01-12;2026-08-13
020000287;CH DE CHAUNY;14;Médecine d'urgence;26;SMUR Structure mobile d'urgence et de réanimation;14;Non saisonnier;322608729;2007-03-30;020000535;CH CHAUNY;8729;;32-22-90;32-22-90;;;2009-09-08;2027-03-07
020000287;CH DE CHAUNY;14;Médecine d'urgence;23;SU Structure des urgences;14;Non saisonnier;322604202;2007-03-30;020000535;CH CHAUNY;4202;;32-22-906;32-22-906;;;2009-09-08;2027-03-07
020000295;ETS PUB SANTÉ MENTALE DÉP DE L'AISNE;04;Psychiatrie;06;Générale;05;Hospitalisation à domicile (au domicile du patient);322604085;2001-01-29;020000543;EPSMDA;4085;;32-22-93;32-22-93;;;2001-08-02;2022-02-01
020004404;CENTRE HOSPITALIER DE CHÂTEAU-THIERRY;01;Médecine;00;Pas de modalité;02;Hospitalisation à temps partiel de jour ou de nuit;322605342;2003-11-24;020001061;CH CHÂTEAU-THIERRY;5342;;32-22-43838;32-22-43838;;;2009-10-23;2022-02-01
020004404;CENTRE HOSPITALIER DE CHÂTEAU-THIERRY;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;02;Néonatologie sans soins intensifs;01;Hospitalisation complète (24 heures consécutives ou plus);322607566;2010-03-25;020001061;CH CHÂTEAU-THIERRY;7566;;32-22-861;32-22-861;;;2011-11-30;2023-03-27
020004404;CENTRE HOSPITALIER DE CHÂTEAU-THIERRY;07;Soins de longue durée;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);322610146;2017-09-05;020001061;CH CHÂTEAU-THIERRY;10146;;32-22-64568;32-22-64568;;;;
020004404;CENTRE HOSPITALIER DE CHÂTEAU-THIERRY;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;01;Gynécologie obstétrique;01;Hospitalisation complète (24 heures consécutives ou plus);322604086;2001-01-12;020001061;CH CHÂTEAU-THIERRY;4086;;32-22-103;32-22-103;;;2007-09-28;2023-03-27
020004404;CENTRE HOSPITALIER DE CHÂTEAU-THIERRY;14;Médecine d'urgence;26;SMUR Structure mobile d'urgence et de réanimation;14;Non saisonnier;322604087;2007-03-30;020001061;CH CHÂTEAU-THIERRY;4087;;32-22-106;32-22-106;;;2007-03-30;2022-09-29
020004404;CENTRE HOSPITALIER DE CHÂTEAU-THIERRY;14;Médecine d'urgence;23;SU Structure des urgences;14;Non saisonnier;322604203;2007-03-30;020001061;CH CHÂTEAU-THIERRY;4203;;32-22-907;32-22-907;;;2007-03-30;2022-09-29
590799995;SANTELYS ASSOCIATION LOOS;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;42;Hémodialyse en unité médicalisée;00;Pas de forme;322604021;2007-06-29;020001772;UNITE DE DIALYSE DE CHAUNY;4021;;32-22-120;32-22-120;;;2007-06-29;2028-12-08
590799995;SANTELYS ASSOCIATION LOOS;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;44;Hémodialyse en unité d'auto dialyse assistée;14;Non saisonnier;322604090;2007-06-29;020001772;UNITE DE DIALYSE DE CHAUNY;4090;;32-22-119;32-22-119;;;2007-06-29;2028-12-08
020005179;ASS MÉDICO-SOCIALE ANNE MORGAN;01;Médecine;00;Pas de modalité;05;Hospitalisation à domicile (au domicile du patient);322602120;2007-06-01;020004297;HAD AMSAM SOISSONS;2120;;32-22-131;32-22-131;;;2007-06-01;2022-11-30
020000261;CENTRE HOSPITALIER DE SOISSONS;07;Soins de longue durée;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);322604093;2001-01-23;020004677;USLD CH SOISSONS;4093;;32-22-136;32-22-136;;;2001-08-02;2029-02-01
020000287;CH DE CHAUNY;07;Soins de longue durée;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);322604092;2001-01-23;020004727;USLD CH CHAUNY;4092;;32-22-137;32-22-137;;;2001-08-02;2029-02-01
020000253;CH DE LAON;07;Soins de longue durée;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);322604775;2001-01-23;020005476;USLD CH LAON;4775;;32-22-142;32-22-142;;;2001-08-02;2029-02-01
020000022;CENTRE HOSPITALIER DE GUISE;07;Soins de longue durée;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);322608582;2001-01-23;020009007;USLD CH GUISE;8582;;32-22-156;32-22-156;;;2001-08-02;2029-02-01
020002085;MAISON DE SANTÉ DE BOHAIN;07;Soins de longue durée;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);322604094;1993-01-19;020009684;USLD MSB BOHAIN-EN-VERMANDOIS;4094;;32-22-159;32-22-159;;;2007-06-01;2029-11-30
020000063;CH DE SAINT QUENTIN;07;Soins de longue durée;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);322608579;1901-01-01;020009874;USLD CH SAINT-QUENTIN;8579;;32-22-160;32-22-160;;;2014-07-23;2027-01-22
020001632;HOPITAL PRIVE SAINT CLAUDE;14;Médecine d'urgence;23;SU Structure des urgences;14;Non saisonnier;322604204;2007-03-30;020010047;HOPITAL PRIVE SAINT CLAUDE;4204;;32-22-909;32-22-909;;;2010-01-22;2027-07-21
750721334;CROIX ROUGE FRANCAISE;01;Médecine;00;Pas de modalité;05;Hospitalisation à domicile (au domicile du patient);112604091;2005-05-23;020010898;HAD CRF CHAUNY;4091;;32-22-172;32-22-172;;;2005-10-27;2028-04-26
590805065;TEMPS DE VIE;01;Médecine;00;Pas de modalité;05;Hospitalisation à domicile (au domicile du patient);322604095;2001-12-18;020014767;HAD TEMPS DE VIE SAINT-QUENTIN;4095;;32-22-186;32-22-186;;;2002-06-18;2022-12-17
590799995;SANTELYS ASSOCIATION LOOS;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;42;Hémodialyse en unité médicalisée;00;Pas de forme;322609397;2014-06-25;020016242;UNITE DE DIALYSE DE GUISE;9397;;32-22-51971;32-22-51971;;;2016-01-06;2028-07-05
020000063;CH DE SAINT QUENTIN;14;Médecine d'urgence;29;SMUR Antenne;14;Non saisonnier;322604068;2007-10-10;020016366;SMUR CH SAINT-QUENTIN GUISE;4068;;32-22-4;32-22-4;;;2007-10-10;2022-12-25
590799995;SANTELYS ASSOCIATION LOOS;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;42;Hémodialyse en unité médicalisée;00;Pas de forme;322608499;2019-03-28;020018545;SANTELYS UNITÉ DE DIALYSE DE VERVINS;8499;;32-22-78097;32-22-78097;;;2023-09-06;2031-03-05
030780092;CH DE MOULINS YZEURE;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;40;Hémodialyse en centre pour adultes;00;Pas de forme;842604653;2007-07-03;030000061;CH DE MOULINS;4653;;84-83-39006;84-83-39006;;;2007-07-03;2027-09-05
030780092;CH DE MOULINS YZEURE;01;Médecine;00;Pas de modalité;02;Hospitalisation à temps partiel de jour ou de nuit;842604654;1996-11-28;030000061;CH DE MOULINS;4654;;84-83-39008;84-83-39008;;;1996-11-28;2025-11-01
030780092;CH DE MOULINS YZEURE;01;Médecine;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);842604655;2001-07-12;030000061;CH DE MOULINS;4655;;84-83-38999;84-83-38999;;;2001-07-12;2029-02-03
030780092;CH DE MOULINS YZEURE;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;01;Gynécologie obstétrique;01;Hospitalisation complète (24 heures consécutives ou plus);842604656;2001-07-12;030000061;CH DE MOULINS;4656;;84-83-39007;84-83-39007;;;2006-08-29;2029-02-28
030780092;CH DE MOULINS YZEURE;11;Activités interventionnelles sous imagerie médicale, par voie endovasculaire, en cardiologie;81;Actes électrophysiologiques de rythmologie interventionnelle, de stimulation multi sites et de défibrillation;00;Pas de forme;842605018;2010-12-09;030000061;CH DE MOULINS;5018;;84-83-41536;84-83-41536;;;2012-03-21;2028-06-09
030780092;CH DE MOULINS YZEURE;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;02;Néonatologie sans soins intensifs;01;Hospitalisation complète (24 heures consécutives ou plus);842606884;2001-07-12;030000061;CH DE MOULINS;6884;;84-83-38920;84-83-38920;;;2006-08-29;2029-02-28
030780092;CH DE MOULINS YZEURE;14;Médecine d'urgence;26;SMUR Structure mobile d'urgence et de réanimation;14;Non saisonnier;842601660;2007-03-20;030000061;CH DE MOULINS;1660;;84-83-41518;84-83-41518;;;2007-03-20;2027-09-09
030780092;CH DE MOULINS YZEURE;14;Médecine d'urgence;22;SAMU Service d'aide médicale urgente;00;Pas de forme;842601674;2007-03-20;030000061;CH DE MOULINS;1674;;84-83-39001;84-83-39001;;;2009-06-26;2027-09-09
030780092;CH DE MOULINS YZEURE;14;Médecine d'urgence;23;SU Structure des urgences;14;Non saisonnier;842601675;2007-03-20;030000061;CH DE MOULINS;1675;;84-83-41517;84-83-41517;;;2009-06-26;2027-09-09
030780100;CH DE MONTLUCON NERIS-LES-BAINS;01;Médecine;00;Pas de modalité;02;Hospitalisation à temps partiel de jour ou de nuit;842604670;1994-06-16;030000079;CH DE MONTLUCON;4670;;84-83-39111;84-83-39111;;;2007-08-07;2023-02-06
030780100;CH DE MONTLUCON NERIS-LES-BAINS;16;Traitement de l'insuffisance rénale chronique par épuration extrarénale;40;Hémodialyse en centre pour adultes;00;Pas de forme;842604677;2007-07-03;030000079;CH DE MONTLUCON;4677;;84-83-39110;84-83-39110;;;2007-07-03;2028-05-08
030780100;CH DE MONTLUCON NERIS-LES-BAINS;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;02;Néonatologie sans soins intensifs;01;Hospitalisation complète (24 heures consécutives ou plus);842607374;2001-07-12;030000079;CH DE MONTLUCON;7374;;84-83-64662;84-83-64662;;;2006-08-31;2029-02-03
030780100;CH DE MONTLUCON NERIS-LES-BAINS;14;Médecine d'urgence;23;SU Structure des urgences;14;Non saisonnier;842607559;2016-07-20;030000079;CH DE MONTLUCON;7559;;84-83-62456;84-83-62456;;;2016-11-05;2029-05-04
030780100;CH DE MONTLUCON NERIS-LES-BAINS;11;Activités interventionnelles sous imagerie médicale, par voie endovasculaire, en cardiologie;83;Actes portant sur les autres cardiopathies de l'adulte;00;Pas de forme;842607679;2017-05-31;030000079;CH DE MONTLUCON;7679;;84-83-64209;84-83-64209;;;2017-06-01;2022-11-30
030780100;CH DE MONTLUCON NERIS-LES-BAINS;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;01;Gynécologie obstétrique;01;Hospitalisation complète (24 heures consécutives ou plus);842608976;2001-01-11;030000079;CH DE MONTLUCON;8976;;84-83-39013;84-83-39013;;;2006-08-31;2029-02-03
030780100;CH DE MONTLUCON NERIS-LES-BAINS;01;Médecine;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);842608977;2001-07-12;030000079;CH DE MONTLUCON;8977;;84-83-39010;84-83-39010;;;2001-07-12;2029-02-04
030780100;CH DE MONTLUCON NERIS-LES-BAINS;14;Médecine d'urgence;26;SMUR Structure mobile d'urgence et de réanimation;14;Non saisonnier;842602028;2016-07-20;030000079;CH DE MONTLUCON;2028;;84-83-62457;84-83-62457;;;2016-11-05;2029-05-04
030780100;CH DE MONTLUCON NERIS-LES-BAINS;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;03;Néonatologie avec soins intensifs;01;Hospitalisation complète (24 heures consécutives ou plus);842602034;2001-07-12;030000079;CH DE MONTLUCON;2034;;84-83-39019;84-83-39019;;;2006-08-31;2029-02-03
030780118;CH DE VICHY;01;Médecine;00;Pas de modalité;02;Hospitalisation à temps partiel de jour ou de nuit;842604659;2002-11-19;030000087;CH JACQUES LACARIN VICHY;4659;;84-83-39027;84-83-39027;;;2007-06-28;2022-12-28
030780118;CH DE VICHY;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;01;Gynécologie obstétrique;01;Hospitalisation complète (24 heures consécutives ou plus);842604660;2002-11-19;030000087;CH JACQUES LACARIN VICHY;4660;;84-83-39024;84-83-39024;;;2006-05-24;2028-11-23
030780118;CH DE VICHY;03;Gynécologie, obstétrique, néonatologie, réanimation néonatale;02;Néonatologie sans soins intensifs;01;Hospitalisation complète (24 heures consécutives ou plus);842604661;2001-07-12;030000087;CH JACQUES LACARIN VICHY;4661;;84-83-39022;84-83-39022;;;2006-05-24;2028-11-23
030780118;CH DE VICHY;11;Activités interventionnelles sous imagerie médicale, par voie endovasculaire, en cardiologie;83;Actes portant sur les autres cardiopathies de l'adulte;00;Pas de forme;842605038;2010-12-09;030000087;CH JACQUES LACARIN VICHY;5038;;84-83-41716;84-83-41716;;;2010-12-09;2028-06-09
030780118;CH DE VICHY;14;Médecine d'urgence;23;SU Structure des urgences;14;Non saisonnier;842606093;2007-03-20;030000087;CH JACQUES LACARIN VICHY;6093;;84-83-49877;84-83-49877;;;2007-03-20;2026-12-25
030780118;CH DE VICHY;14;Médecine d'urgence;26;SMUR Structure mobile d'urgence et de réanimation;14;Non saisonnier;842609096;2007-03-20;030000087;CH JACQUES LACARIN VICHY;9096;;84-83-41695;84-83-41695;;;2007-03-20;2026-12-25
030780126;CH DE BOURBON L'ARCHAMBAULT;01;Médecine;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);842604676;2000-10-24;030000095;CH DE BOURBON L'ARCHAMBAULT;4676;;84-83-39123;84-83-39123;;;2000-10-24;2029-02-03
030780282;CHS D'AINAY LE CHATEAU;07;Soins de longue durée;00;Pas de modalité;01;Hospitalisation complète (24 heures consécutives ou plus);842604671;1996-05-21;030001234;USLD D'AINAY LE CHATEAU;4671;;84-83-39126;84-83-39126;;;1998-10-20;2026-08-19
