nofinessej;rsej;eml;libeml;noautor;noautorarhgos;noimplarhgos;dateautor;nofinesset;datemeo
CRLCC GEORGES-FRANCOIS LECLERC;05701;Caméra à scintillation sans détecteur d'émission de positons;272610373;27-26-35558;27-26-35558;2005-03-25;210987731;2005-03-25;
CRLCC GEORGES-FRANCOIS LECLERC;05702;Caméra à scintillation avec détecteur d'émission de positons;272610374;27-26-35656;27-26-35656;2008-11-19;210987731;2010-02-19;
CRLCC GEORGES-FRANCOIS LECLERC;05705;Tomographe à émissions;272610375;27-26-35565;27-26-35565;2010-08-26;210987731;2011-09-29;
CRLCC GEORGES-FRANCOIS LECLERC;05701;Caméra à scintillation sans détecteur d'émission de positons;272610376;27-26-35559;27-26-35559;2010-07-23;210987731;2011-07-18;
CH DE SAINT BRIEUC PAIMPOL TREGUIER;05701;Caméra à scintillation sans détecteur d'émission de positons;532610377;53-53-1098;53-53-1098;2005-02-08;220000012;2005-09-09;
CH DE SAINT BRIEUC PAIMPOL TREGUIER;05701;Caméra à scintillation sans détecteur d'émission de positons;532610378;53-53-1099;53-53-1099;2005-02-08;220000012;2005-09-09;
GCS PARTENARIAT MED NUCLEAIRE D'ARMOR;05705;Tomographe à émissions;532610379;53-53-1231;53-53-1231;2008-11-27;220025175;2012-06-28;
GCS PARTENARIAT MED NUCLEAIRE D'ARMOR;05705;Tomographe à émissions;532610837;53-53-76613;53-53-76613;2022-03-04;220025175;2024-09-09;
TEPSCAN-FRANCHEVILLE;05705;Tomographe à émissions;752610380;75-72-74928;75-72-74928;2018-03-27;240018465;2022-11-29;
SAS CLINIQUE SAINT VINCENT;05701;Caméra à scintillation sans détecteur d'émission de positons;272610387;27-43-35643;27-43-35643;2001-12-03;250000270;2001-12-03;
SAS CLINIQUE SAINT VINCENT;05701;Caméra à scintillation sans détecteur d'émission de positons;272610388;27-43-35732;27-43-35732;2003-12-15;250000270;2006-04-07;
CHU BESANCON;05705;Tomographe à émissions;272610381;27-43-35631;27-43-35631;2001-03-29;250006954;2003-04-15;
CHU BESANCON;05705;Tomographe à émissions;272610382;27-43-71571;27-43-71571;2019-07-25;250006954;2020-10-26;
CHU BESANCON;05701;Caméra à scintillation sans détecteur d'émission de positons;272610383;27-43-35729;27-43-35729;2010-02-24;250006954;2011-02-18;
CHU BESANCON;05701;Caméra à scintillation sans détecteur d'émission de positons;272610384;27-43-35637;27-43-35637;2003-12-15;250006954;2016-05-30;
CHU BESANCON;05701;Caméra à scintillation sans détecteur d'émission de positons;272610385;27-43-35641;27-43-35641;2003-12-15;250006954;2003-12-15;
CHU BESANCON;44901;Caisson hyperbare;272610386;27-43-35640;27-43-35640;1998-01-06;250006954;1998-01-06;
CH DE VALENCE;05701;Caméra à scintillation sans détecteur d'émission de positons;842610389;84-82-1839;84-82-1839;2002-11-13;260000013;2005-10-05;
CH DE VALENCE;05701;Caméra à scintillation sans détecteur d'émission de positons;842610390;84-82-1820;84-82-1820;2004-11-11;260000013;2006-01-03;
CH DE VALENCE;05701;Caméra à scintillation sans détecteur d'émission de positons;842610391;84-82-1838;84-82-1838;2000-12-27;260000013;2002-02-04;
CH DE VALENCE;05705;Tomographe à émissions;842610392;84-82-1760;84-82-1760;2004-10-13;260000013;2009-05-25;
CH DE VALENCE;05701;Caméra à scintillation sans détecteur d'émission de positons;842610393;84-82-1819;84-82-1819;2004-11-10;260000013;2005-07-16;
CH DE VALENCE;05705;Tomographe à émissions;842610846;84-82-75951;84-82-75951;2022-02-23;260000013;;
CTRE HOSPITALIER DREUX V. JOUSSELIN;06201;Appareil d'IRM à utilisation clinique;242610396;24-24-53150;24-24-53150;2015-03-30;280000084;2016-10-04;
CTRE HOSPITALIER DREUX V. JOUSSELIN;06201;Appareil d'IRM à utilisation clinique;242610397;24-24-717;24-24-717;2008-07-09;280000084;2008-07-09;
CTRE HOSPITALIER DREUX V. JOUSSELIN;05602;Scanographe à utilisation médicale;242610398;24-24-731;24-24-731;2004-06-29;280000084;2006-05-10;
CTRE HOSPITALIER DREUX V. JOUSSELIN;05602;Scanographe à utilisation médicale;242610399;24-24-46278;24-24-46278;2013-04-23;280000084;2014-11-12;
CH DE CHATEAUDUN;05602;Scanographe à utilisation médicale;242610406;24-24-720;24-24-720;2001-03-22;280000662;2004-03-19;
TEP DE L'EURE ET LOIR;05705;Tomographe à émissions;522610704;24-24-70679;24-24-70679;2018-10-12;280005448;2019-07-10;
TEP DE L'EURE ET LOIR;05705;Tomographe à émissions;522610705;24-24-1069;24-24-1069;2006-06-20;280005448;2011-09-30;
OBELION;05701;Caméra à scintillation sans détecteur d'émission de positons;522610702;24-24-807;24-24-807;2001-12-14;280007121;2002-10-16;
OBELION;05701;Caméra à scintillation sans détecteur d'émission de positons;522610703;24-24-806;24-24-806;1998-06-30;280007121;2000-02-15;
OBELION;05701;Caméra à scintillation sans détecteur d'émission de positons;522610873;24-24-77619;24-24-77619;2023-05-30;280007121;;
GIE I.R.M.E.L.;06201;Appareil d'IRM à utilisation clinique;242610402;24-24-795;24-24-795;2007-04-10;280007824;2009-09-11;
GIE I.R.M.E.L.;06201;Appareil d'IRM à utilisation clinique;242610403;24-24-44564;24-24-44564;2012-10-29;280007824;2015-09-15;
GIE IRM VAL DE L'EURE;06201;Appareil d'IRM à utilisation clinique;242610404;24-24-42741;24-24-42741;2011-04-27;280007832;2015-08-05;
GIE IRM VAL DE L'EURE;06201;Appareil d'IRM à utilisation clinique;242610405;24-24-781;24-24-781;2002-07-04;280007832;2004-10-27;
GIE -  G.S.N.D.B.S.;05602;Scanographe à utilisation médicale;242610401;24-24-780;24-24-780;2007-04-10;280008723;2020-03-24;
CH NOGENT LE ROTROU;05602;Scanographe à utilisation médicale;242610400;24-24-748;24-24-748;2007-04-10;280502998;2008-10-03;
CH DE CHARTRES;05602;Scanographe à utilisation médicale;242610394;24-24-836;24-24-836;2009-01-20;280504267;2011-10-22;
CH DE CHARTRES;05602;Scanographe à utilisation médicale;242610395;24-24-1003;24-24-1003;2008-06-17;280504267;2004-04-06;
CH DE CHARTRES;05602;Scanographe à utilisation médicale;242610847;24-24-76899;24-24-76899;2022-11-28;280504267;2024-02-01;
SCM GIMEL MAINVILLIERS;05602;Scanographe à utilisation médicale;242610407;24-24-782;24-24-782;2001-09-13;280506221;2001-12-24;
CHRU BREST;05701;Caméra à scintillation sans détecteur d'émission de positons;532610410;53-53-1119;53-53-1119;2003-02-04;290000058;2007-03-08;
CHRU BREST;05705;Tomographe à émissions;532610408;53-53-1052;53-53-1052;2001-08-02;290004324;2003-01-30;
CHRU BREST;05705;Tomographe à émissions;532610409;53-53-52508;53-53-52508;2014-11-27;290004324;2015-02-27;
CHRU BREST;05705;Tomographe à émissions;532610411;53-53-72614;53-53-72614;2019-11-28;290004324;2024-01-17;
CHRU BREST;44901;Caisson hyperbare;532610412;53-53-1108;53-53-1108;1998-06-06;290004324;1998-07-22;
CHRU BREST;05701;Caméra à scintillation sans détecteur d'émission de positons;532610413;53-53-73764;53-53-73764;2020-05-29;290004324;2021-12-07;
CHRU BREST;05701;Caméra à scintillation sans détecteur d'émission de positons;532610414;53-53-1124;53-53-1124;2008-04-01;290004324;2008-07-18;
CHRU BREST;05701;Caméra à scintillation sans détecteur d'émission de positons;532610415;53-53-1083;53-53-1083;2001-01-12;290004324;2003-04-18;
CHRU BREST;05701;Caméra à scintillation sans détecteur d'émission de positons;532610416;53-53-1395;53-53-1395;2010-05-06;290004324;2011-02-09;
CENTRE DE MEDECINE NUCLEAIRE;05705;Tomographe à émissions;532610417;53-53-68519;53-53-68519;2018-12-27;290017979;2021-02-08;
